ax,ay,az
0.30,0.07,2.00
-0.05,-2.00,0.85
-0.56,0.20,0.21
0.33,-1.03,2.00
-0.14,-2.00,0.63
-0.64,0.24,0.38
0.42,-0.94,1.72
0.03,-1.91,0.73
-0.36,0.77,0.68
0.22,-0.97,1.34
0.08,-1.04,0.67
-0.08,2.00,1.54
0.28,0.12,1.58
0.08,0.96,0.45
-0.05,2.00,1.59
0.23,-0.71,1.42
0.00,1.39,0.57
0.10,1.95,1.55
0.09,-0.80,1.42
-0.34,1.53,0.16
0.13,0.96,1.82
-0.10,-1.63,0.71
-0.49,0.10,0.07
0.43,-0.48,2.00
-0.13,-2.00,1.01
-0.60,0.20,0.20
0.54,-0.78,2.00
-0.18,-2.00,0.70
-0.66,0.15,0.17
0.32,-1.51,1.67
0.06,-1.80,0.67
-0.10,1.27,1.38
0.03,-0.30,1.10
0.18,-0.23,0.51
-0.15,2.00,1.50
0.32,-0.11,1.66
-0.05,0.61,0.30
0.03,2.00,1.77
0.32,-0.54,1.54
0.04,1.56,0.50
0.08,2.00,1.56
0.05,-1.03,1.04
-0.34,1.12,0.34
0.24,0.78,2.00
-0.12,-1.50,0.89
-0.48,0.47,0.21
0.42,-0.19,2.00
-0.22,-2.00,0.72
-0.60,-0.00,0.11
0.33,-1.16,2.00
-0.16,-2.00,0.77
-0.49,0.81,0.62
0.30,-1.02,1.22
0.05,-1.36,0.73
-0.23,1.41,0.95
0.14,-0.65,0.80
0.05,-0.21,0.40
0.00,2.00,1.76
0.32,0.01,1.66
-0.11,1.08,0.32
0.05,2.00,1.80
0.27,-1.10,1.34
-0.15,1.44,0.53
0.08,1.64,1.46
0.07,-1.14,1.27
-0.36,1.43,0.25
0.20,0.23,2.00
-0.20,-2.00,0.34
-0.51,-0.23,0.09
0.29,-0.96,2.00
-0.01,-2.00,0.95
-0.51,0.52,0.41
0.42,-0.85,1.97
-0.00,-1.67,0.94
-0.54,1.08,0.51
0.23,-1.21,1.13
0.10,-0.59,0.35
-0.04,1.71,1.81
0.20,-0.13,1.20
0.02,0.41,0.47
0.02,2.00,1.47
0.31,-0.38,1.62
-0.16,1.16,0.31
0.26,1.77,2.00
0.20,-1.04,1.61
-0.14,1.61,0.42
0.16,0.78,1.97
-0.16,-1.97,0.56
-0.50,0.24,0.15
0.43,-0.63,2.00
-0.16,-2.00,0.81
-0.57,0.10,0.06
0.33,-0.93,2.00
0.00,-2.00,1.00
-0.56,0.77,0.46
0.35,-0.92,1.66
-0.06,-1.07,0.64
-0.32,1.71,1.18
0.28,-0.71,1.20
0.02,-0.27,0.51
-0.01,1.80,1.57
0.14,-0.45,1.06
-0.05,0.74,0.32
0.24,2.00,1.93
0.20,-0.17,1.81
-0.06,1.26,0.34
0.09,1.45,1.79
0.04,-1.78,1.13
-0.35,0.98,0.26
0.13,0.40,1.95
-0.12,-1.62,0.74
-0.58,0.47,0.21
0.39,-0.86,2.00
-0.11,-2.00,0.73
-0.56,0.11,-0.04
0.33,-0.96,1.75
-0.04,-2.00,0.90
-0.49,0.93,0.74
0.42,-0.63,1.80
-0.05,-1.36,0.50
-0.37,1.48,0.76
0.07,-1.12,0.81
0.14,0.30,0.43
0.10,2.00,1.84
0.19,-0.03,1.42
0.05,1.20,0.43
0.05,1.99,1.57
0.16,-0.70,1.55
-0.18,1.08,0.33
0.10,1.41,1.85
0.06,-1.72,1.01
-0.36,0.93,0.17
0.20,-0.03,2.00
-0.12,-2.00,0.56
-0.53,0.59,0.22
0.32,-0.46,2.00
-0.13,-1.78,0.84
-0.60,-0.06,0.14
0.49,-0.72,2.00
-0.15,-2.00,0.66
-0.57,0.27,0.29
0.33,-1.10,1.76
-0.02,-1.53,0.78
-0.39,1.80,0.74
0.21,-0.74,1.14
0.16,-0.22,0.63
-0.06,1.83,1.40
0.09,-0.41,1.13
0.13,0.71,0.42
0.15,2.00,1.99
0.11,-0.11,1.42
-0.08,1.07,0.41
0.13,1.66,1.96
0.15,-1.55,0.92
-0.36,1.01,0.07
0.15,1.03,1.84
0.05,-1.50,1.16
-0.49,0.84,0.25
0.37,-0.40,2.00
-0.21,-2.00,0.36
-0.53,-0.20,0.17
0.25,-1.14,1.90
0.10,-2.00,1.04
-0.40,1.01,0.83
0.34,-0.74,1.57
-0.01,-1.22,0.67
-0.41,1.79,0.65
0.23,-0.77,1.05
0.08,0.25,0.43
0.02,2.00,1.64
0.21,-0.28,1.25
0.02,1.09,0.67
0.03,1.98,1.47
0.12,-0.53,1.15
-0.19,1.19,0.40
0.30,1.85,2.00
0.03,-1.13,1.08
-0.27,1.16,0.21
0.15,0.55,1.77
-0.14,-2.00,0.71
-0.58,0.27,0.28
0.24,-0.99,2.00
-0.11,-1.97,0.81
-0.60,0.08,0.08
0.36,-0.96,2.00
0.09,-2.00,0.81
-0.43,0.85,0.65
0.27,-0.70,1.40
0.07,-0.83,0.63
-0.30,2.00,1.15
0.36,-0.64,1.32
-0.01,-0.09,0.47
-0.05,1.77,1.46
0.24,-0.66,1.17
0.02,0.92,0.55
0.28,2.00,1.94
-0.01,-0.16,1.32
-0.01,1.21,0.67
0.07,1.61,1.89
-0.00,-1.78,0.96
-0.33,0.74,0.18
0.12,0.67,1.85
-0.03,-1.78,0.98
-0.46,0.67,0.14
0.40,-0.59,2.00
-0.22,-1.97,0.58
-0.66,-0.12,0.01
0.41,-1.03,2.00
0.00,-2.00,1.07
-0.54,0.52,0.63
0.36,-0.90,1.53
0.00,-1.76,0.67
-0.54,1.25,0.37
0.22,-1.07,1.48
-0.00,-0.71,0.39
0.05,2.00,1.67
0.26,-0.27,1.33
0.22,0.88,0.81
0.04,2.00,1.36
0.03,-0.32,1.26
-0.02,1.14,0.47
0.02,2.00,1.78
0.19,-0.84,1.30
-0.24,1.26,0.35
0.08,1.35,1.63
-0.01,-1.61,0.96
-0.48,0.91,0.16
0.43,0.04,2.00
-0.14,-1.59,1.06
-0.57,0.38,-0.00
0.54,-0.40,2.00
-0.11,-2.00,0.46
-0.64,0.02,0.05
0.15,-1.16,1.74
0.03,-2.00,1.12
-0.52,0.96,0.49
0.28,-0.94,1.71
-0.02,-1.33,0.66
-0.28,1.21,0.97
0.19,-0.90,1.19
0.08,-0.76,0.46
-0.09,1.62,1.29
0.12,0.08,1.08
0.10,0.50,0.52
-0.12,2.00,1.23
0.31,-0.40,1.62
-0.04,0.89,0.53
0.25,2.00,2.00
0.11,-0.89,1.37
-0.10,1.61,0.53
0.17,2.00,1.62
-0.12,-0.69,0.94
-0.32,0.83,0.28
0.30,0.34,2.00
-0.06,-1.89,0.79
-0.57,0.00,-0.07
0.28,-0.47,2.00
0.06,-2.00,1.02
-0.54,0.26,0.23
0.35,-1.04,2.00
0.02,-2.00,0.84
-0.65,0.20,0.15
0.22,-1.13,1.43
