ax,ay,az
0.06,-0.04,1.18
-0.02,0.08,1.02
-0.11,-0.11,1.00
0.01,0.05,1.28
-0.13,-0.07,0.93
-0.04,-0.08,1.12
-0.04,-0.12,1.03
-0.03,-0.05,1.11
0.01,0.12,1.14
-0.09,-0.12,0.90
-0.04,-0.06,1.15
0.02,0.16,1.17
-0.05,-0.21,0.93
0.12,0.03,1.23
0.00,0.03,1.02
-0.02,-0.31,1.02
0.04,0.12,1.18
0.03,-0.02,1.02
-0.06,-0.16,1.05
-0.11,0.16,1.06
0.03,-0.10,1.17
-0.01,-0.08,1.08
-0.05,0.08,1.02
0.02,-0.26,1.20
-0.09,0.06,1.05
-0.03,0.06,1.17
-0.01,-0.15,1.15
-0.10,0.11,0.88
0.01,-0.05,1.20
0.02,-0.07,1.02
-0.01,0.06,1.09
-0.03,-0.12,1.10
-0.07,0.08,0.97
-0.00,-0.02,1.22
-0.03,0.04,1.13
-0.05,0.09,0.90
-0.06,-0.33,1.13
-0.02,0.00,1.13
0.04,0.08,1.16
-0.12,-0.12,0.99
-0.00,0.37,1.15
0.02,0.06,1.15
-0.03,-0.26,0.99
-0.02,0.01,1.07
-0.06,-0.27,1.13
0.04,0.01,1.03
-0.00,0.20,1.27
-0.03,0.05,1.07
-0.05,0.14,0.92
-0.02,-0.30,1.15
0.05,-0.15,1.09
-0.04,-0.03,0.91
-0.09,-0.12,0.94
0.00,0.32,1.21
-0.03,0.02,1.04
-0.01,-0.16,1.09
-0.03,-0.01,1.08
0.00,-0.32,1.16
-0.03,0.01,1.12
-0.09,0.18,1.02
0.01,-0.08,1.13
-0.03,0.01,0.95
0.00,-0.01,1.11
0.01,-0.23,1.16
-0.10,0.12,1.06
-0.06,-0.05,1.04
-0.05,-0.02,1.21
-0.06,0.07,1.01
0.00,0.00,1.12
-0.05,-0.13,1.01
0.04,-0.07,1.19
0.02,0.03,1.15
-0.08,-0.16,0.79
0.08,-0.04,1.39
-0.04,0.08,1.01
-0.08,-0.05,1.05
0.00,-0.12,1.15
-0.06,0.10,1.05
-0.01,-0.06,1.14
-0.14,0.00,0.97
-0.08,0.01,1.11
0.05,0.02,1.23
-0.09,-0.07,0.94
0.03,0.07,1.35
-0.02,0.04,0.96
-0.03,-0.16,1.17
0.11,0.06,1.24
-0.09,-0.08,0.93
0.02,-0.17,1.12
0.01,0.19,1.18
-0.10,-0.23,1.10
0.03,-0.03,1.08
-0.03,0.18,0.91
0.04,-0.22,1.14
0.04,0.03,1.07
-0.03,0.10,0.94
0.01,-0.11,1.12
-0.08,-0.01,0.92
-0.04,-0.05,1.12
-0.01,0.07,1.09
-0.01,-0.06,1.01
-0.04,0.01,1.11
-0.08,0.03,0.95
-0.02,-0.15,1.31
0.01,0.05,1.10
-0.04,0.11,1.00
0.00,-0.31,1.15
0.02,0.15,1.06
-0.04,-0.02,1.05
0.02,-0.24,1.20
-0.05,0.25,0.93
0.04,-0.13,1.21
0.01,-0.22,1.04
-0.06,0.17,1.04
0.01,-0.25,1.05
-0.03,0.02,0.97
0.01,0.21,1.21
-0.04,-0.07,1.17
-0.03,-0.01,0.88
0.03,-0.20,1.18
-0.00,-0.13,1.07
-0.04,-0.10,1.06
-0.03,-0.07,1.04
-0.04,0.26,1.19
-0.02,-0.01,1.13
-0.08,-0.01,1.00
-0.05,-0.05,1.02
-0.04,-0.50,1.06
